2015/05/02 22:20:42 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2015/05/02 22:23:06 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/05/02 22:23:06 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/05/02 22:23:06 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/05/02 22:23:06 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Admin User 
2015/05/02 22:23:06 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Admin User. 
2015/05/02 22:23:06 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/02 22:23:06 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2015/05/02 22:23:06 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/05/02 22:23:06 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : Student Login 
2015/05/02 22:23:06 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group Student Login. 
2015/05/02 22:23:06 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/02 22:23:06 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 10 ramp-up 20 perThread 2000.0 delayedStart=false 
2015/05/02 22:23:06 INFO  - jmeter.threads.JMeterThread: Thread started: Admin User 1-1 
2015/05/02 22:23:06 INFO  - jmeter.services.FileServer: Stored: login.txt 
2015/05/02 22:23:06 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-1 
2015/05/02 22:23:06 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2015/05/02 22:23:06 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/05/02 22:23:08 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-2 
2015/05/02 22:23:10 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-3 
2015/05/02 22:23:12 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-4 
2015/05/02 22:23:14 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-5 
2015/05/02 22:23:16 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-6 
2015/05/02 22:23:18 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-7 
2015/05/02 22:23:20 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-8 
2015/05/02 22:23:22 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-9 
2015/05/02 22:23:24 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-10 
2015/05/02 22:23:36 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-2 
2015/05/02 22:23:39 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-6 
2015/05/02 22:23:42 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-1 
2015/05/02 22:23:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-9 
2015/05/02 22:23:45 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-4 
2015/05/02 22:23:53 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-3 
2015/05/02 22:23:57 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-5 
2015/05/02 22:23:58 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-7 
2015/05/02 22:23:59 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-8 
2015/05/02 22:24:02 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-10 
2015/05/02 22:24:03 INFO  - jmeter.threads.JMeterThread: Thread finished: Admin User 1-1 
